,0,1,2,3,4,5,6,7
0,1.0,18.61111111111111,0.88,0.95,2.27,1.5,4,1.137061304395011
1,9.0,33.333333333333336,3.85,1.04,2.45,2.5,4,1.7018241867906594
2,11.0,15.277777777777777,4.0,0.53,0.86,1.98,4,1.7655325294120385
3,12.0,10.277777777777777,1.1800000000000002,0.92,2.33,2.5,4,0.7239326548637486
4,15.0,13.61111111111111,0.37,0.77,0.95,2.37,4,0.7422905672121445
5,17.0,17.77777777777778,0.04,1.22,0.8,2.31,4,3.054088863303864
6,21.0,18.61111111111111,1.78,0.74,0.89,2.5,4,1.4468632845922154
7,24.0,25.27777777777778,3.58,0.5,0.83,2.5,4,1.8581110059102537
8,25.0,32.77777777777778,4.0,0.68,0.8,2.46,4,3.1633191057994736
9,29.0,13.61111111111111,3.88,0.53,0.86,2.16,4,1.0363339525753155
10,33.0,28.61111111111111,3.61,0.59,1.04,1.56,4,1.2464044296077248
11,34.0,33.333333333333336,3.73,0.59,1.88,2.5,4,1.3323115456519998
12,36.0,15.277777777777777,1.39,0.5,2.5,2.5,4,2.9979729169086546
13,37.0,16.11111111111111,1.81,1.25,2.5,1.95,4,1.7199112926550946
14,40.0,15.277777777777777,0.4,1.04,1.01,2.5,4,1.5929541907620206
15,43.0,31.944444444444443,0.34,0.5,0.8,2.43,4,1.695002434659687
16,44.0,18.61111111111111,0.13,0.62,0.8,1.86,4,1.3791861221672568
17,45.0,16.944444444444443,1.12,0.74,1.07,1.65,4,0.645123944476875
18,46.0,33.333333333333336,2.77,0.5,2.03,2.5,4,1.4092898030918182
19,47.0,13.61111111111111,1.51,0.68,0.86,2.5,4,0.810562327917802
20,56.0,33.333333333333336,0.79,0.56,0.83,1.56,4,2.0127631772022183
21,57.0,16.11111111111111,0.16,0.5,0.8,2.07,4,1.7524287707713748
22,60.0,17.77777777777778,0.97,0.56,0.83,2.37,4,1.4492318470775944
23,61.0,33.333333333333336,4.0,0.89,0.8,2.5,4,2.394954293991093
24,65.0,11.944444444444445,1.54,0.53,1.88,2.46,4,1.44215288774112
25,70.0,33.333333333333336,1.2400000000000002,0.53,2.5,2.5,4,1.238679348496233
26,73.0,17.77777777777778,3.85,0.86,0.86,1.62,4,3.721487254234962
27,76.0,16.944444444444443,0.4,1.31,0.86,2.5,4,1.1623632892852147
28,79.0,17.77777777777778,0.73,0.8,0.89,2.4,4,0.6671699751989605
29,81.0,14.444444444444445,0.28,1.07,0.8,2.5,4,0.9889940000135998
30,89.0,15.277777777777777,0.64,0.83,0.8,2.5,4,2.02644955156571
31,92.0,33.333333333333336,2.56,0.83,2.15,1.53,4,1.8594199453545601
32,97.0,13.61111111111111,1.75,0.74,0.92,2.5,4,0.792664119412286
33,100.0,13.61111111111111,0.31,0.62,1.43,2.5,4,2.841212383125227
34,107.0,15.277777777777777,0.64,1.1,2.0,2.5,4,0.9650939316074443
35,108.0,16.944444444444443,2.5,0.68,2.24,2.22,4,4.879883429491781
36,110.0,18.61111111111111,3.07,0.56,1.07,2.5,4,1.9513725894893572
37,118.0,33.333333333333336,4.0,0.68,0.8,2.5,4,4.014065072481318
38,123.0,33.333333333333336,2.68,0.53,1.13,2.5,4,1.4102873462035346
39,126.0,31.944444444444443,1.3,0.53,0.8,2.5,4,3.903156282359041
40,127.0,33.333333333333336,1.45,0.8,1.16,2.5,4,1.9344711908529684
41,131.0,33.333333333333336,1.09,0.53,1.01,2.5,4,1.3170896937931387
42,132.0,16.944444444444443,0.52,0.5,0.8,2.5,4,1.4361847518262425
43,133.0,33.333333333333336,0.88,0.5,0.86,2.5,4,2.5107690216471497
